"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"    Walked:","19,906","±3,336","16,008","±1,883","49,877","±5,354","14,196","±2,307","376,726","±14,180","71,197","±5,053","37,991","±3,630","9,790","±2,194","39,496","±5,007","131,549","±9,355","59,287","±5,141","22,811","±3,022","19,476","±2,716","176,022","±9,143","53,794","±4,664","41,212","±3,435","24,699","±2,642","31,660","±3,962","27,621","±4,152","20,099","±2,581","57,764","±4,806","128,523","±7,677","74,346","±5,250","66,871","±4,542","9,874","±2,064","50,883","±4,659","20,376","±2,618","21,598","±2,299","26,679","±3,709","13,555","±1,993","107,528","±6,489","16,140","±2,588","512,753","±15,528","58,195","±5,200","12,777","±2,003","94,085","±6,258","27,594","±2,523","63,605","±5,727","171,054","±8,329","12,824","±2,648","27,094","±3,248","12,817","±1,889","32,858","±3,217","192,817","±10,795","31,529","±3,996","13,057","±2,052","69,350","±5,577","119,432","±7,205","17,294","±2,815","66,873","±3,948","8,951","±1,737","23,669","±3,540"
"        No vehicle available","2,378","±993","6,511","±1,140","6,749","±2,044","3,260","±1,163","73,115","±5,923","12,710","±2,671","10,209","±2,195","1,185","±931","20,152","±3,396","20,185","±2,899","12,275","±2,373","3,814","±1,516","1,218","±740","57,671","±6,011","15,771","±2,380","7,688","±1,670","3,759","±972","8,078","±1,889","8,195","±2,225","3,802","±1,510","11,331","±2,252","40,217","±3,917","13,985","±2,805","11,812","±2,213","2,280","±993","9,582","±1,825","2,241","±722","3,207","±1,033","7,035","±2,014","2,634","±1,051","33,017","±4,078","1,350","±769","271,186","±11,584","10,957","±2,273","3,440","±1,242","27,226","±3,574","7,038","±1,276","12,473","±2,661","52,133","±5,248","2,097","±898","6,169","±1,791","1,833","±860","7,655","±1,979","42,176","±4,743","4,637","±1,804","1,699","±776","12,866","±2,565","32,481","±4,188","4,175","±1,582","13,666","±2,736","1,044","±590","5,553","±1,710"
"        1 vehicle available","6,166","±1,557","4,226","±914","18,992","±3,811","4,491","±1,218","123,347","±6,802","24,980","±2,648","13,243","±2,076","2,232","±937","12,233","±2,114","52,698","±5,862","20,146","±3,158","10,672","±1,894","5,015","±1,180","63,148","±7,155","13,423","±1,867","12,410","±2,288","7,231","±1,524","9,331","±2,077","9,549","±2,256","6,667","±1,474","20,168","±3,738","45,302","±3,901","22,880","±3,026","23,134","±2,691","2,537","±978","14,671","±2,580","3,768","±923","6,924","±1,570","8,408","±1,896","4,592","±1,266","36,452","±3,716","7,778","±2,081","157,574","±10,006","18,024","±2,620","3,373","±1,025","25,772","±3,270","9,015","±1,581","19,248","±2,875","54,009","±4,272","6,707","±2,158","6,347","±1,497","3,739","±1,101","9,146","±1,903","60,841","±5,597","7,116","±2,146","5,471","±1,546","21,829","±2,986","41,063","±3,524","6,655","±1,651","21,598","±2,804","3,448","±1,142","6,747","±1,633"
"        2 vehicles available","6,718","±1,751","2,799","±847","13,478","±2,592","3,406","±1,174","99,193","±7,644","20,284","±2,453","9,360","±1,997","3,076","±1,242","5,623","±1,970","39,251","±4,757","14,774","±2,965","4,673","±1,165","5,327","±1,293","33,025","±3,723","14,366","±2,345","9,838","±1,618","7,877","±1,496","9,286","±1,970","7,221","±2,000","6,524","±1,342","16,862","±2,724","28,150","±3,867","22,781","±3,263","17,150","±2,285","2,670","±1,040","15,722","±2,146","8,052","±2,085","4,754","±1,017","6,928","±1,751","3,706","±1,017","25,312","±3,281","4,116","±904","56,842","±4,821","16,625","±2,967","2,477","±910","23,192","±3,001","5,977","±1,212","19,367","±3,181","41,929","±4,545","2,651","±1,208","7,068","±1,782","3,582","±878","8,482","±1,643","51,087","±5,217","9,020","±1,827","3,487","±970","19,804","±3,011","26,494","±3,510","2,880","±817","18,497","±2,175","1,780","±672","7,236","±2,342"
"        3 or more vehicles available","4,644","±1,262","2,472","±976","10,658","±2,065","3,039","±846","81,071","±5,898","13,223","±2,311","5,179","±1,453","3,297","±1,351","1,488","±571","19,415","±3,154","12,092","±2,571","3,652","±1,084","7,916","±1,435","22,178","±2,405","10,234","±2,118","11,276","±1,858","5,832","±1,126","4,965","±1,237","2,656","±1,280","3,106","±839","9,403","±1,799","14,854","±3,245","14,700","±2,415","14,775","±1,630","2,387","±1,066","10,908","±1,780","6,315","±1,291","6,713","±1,341","4,308","±1,285","2,623","±944","12,747","±2,259","2,896","±1,291","27,151","±3,653","12,589","±2,969","3,487","±835","17,895","±2,555","5,564","±1,330","12,517","±2,056","22,983","±2,410","1,369","±789","7,510","±1,703","3,663","±782","7,575","±1,788","38,713","±4,296","10,756","±2,664","2,400","±928","14,851","±2,659","19,394","±2,871","3,584","±1,095","13,112","±1,728","2,679","±1,000","4,133","±1,441"
"    Taxi or ride-hailing services, motorcycle, bicycle, or other means:","26,593","±3,233","21,045","±2,090","84,776","±6,166","20,683","±3,194","492,977","±14,738","69,646","±5,447","30,494","±3,602","8,816","±1,700","32,569","±4,354","287,436","±13,295","104,385","±7,279","19,053","±2,140","17,131","±1,863","133,924","±8,670","55,028","±4,654","22,855","±2,447","24,397","±3,192","35,427","±3,611","36,659","±4,237","10,732","±1,963","62,629","±6,244","119,828","±8,665","77,497","±5,253","58,134","±4,002","16,951","±3,157","48,487","±4,565","10,148","±2,166","15,942","±2,587","41,225","±4,407","11,261","±1,933","124,067","±9,484","20,464","±3,232","284,234","±12,074","77,360","±5,495","7,771","±1,582","101,131","±6,280","28,470","±2,911","54,652","±4,273","127,204","±6,877","12,506","±2,240","45,743","±5,230","5,614","±1,304","45,894","±4,212","288,261","±10,766","30,402","±3,032","4,050","±1,294","74,961","±6,323","74,174","±5,258","9,964","±1,573","46,672","±3,561","4,962","±1,386","20,248","±2,956"
"        No vehicle available","6,128","±1,758","5,356","±1,036","11,641","±2,410","5,131","±1,701","73,949","±6,223","7,270","±2,467","6,314","±1,717","1,383","±814","10,856","±2,304","50,713","±6,545","17,662","±3,107","2,425","±824","1,227","±589","31,221","±3,903","18,496","±3,419","5,016","±1,204","5,712","±1,931","9,404","±2,417","9,407","±1,825","1,315","±657","14,663","±3,227","27,647","±4,476","17,154","±2,189","10,738","±2,167","2,612","±1,311","12,687","±2,935","886","±476","2,433","±881","7,641","±2,266","2,027","±900","33,787","±5,184","3,850","±1,611","131,198","±8,588","17,506","±3,018","2,776","±1,083","33,941","±4,270","7,599","±1,289","6,075","±1,401","38,167","±3,815","2,685","±1,284","9,921","±1,792","804","±430","9,341","±2,405","54,183","±4,917","2,627","±1,173","369","±351","11,460","±1,733","9,572","±2,471","2,587","±1,070","10,752","±1,682","428","±426","4,502","±1,311"
"        1 vehicle available","6,450","±1,492","4,175","±976","23,825","±3,847","4,738","±1,223","138,035","±7,922","19,628","±3,209","10,722","±2,365","3,649","±1,258","12,391","±2,443","94,633","±7,207","26,034","±3,279","8,008","±1,295","3,813","±1,123","45,179","±5,191","12,433","±2,321","5,004","±1,164","5,063","±1,088","8,612","±1,839","9,885","±2,424","3,342","±1,323","17,029","±2,806","45,895","±4,657","22,564","±2,797","16,577","±2,614","3,998","±1,231","11,739","±2,496","2,155","±727","4,869","±1,372","11,479","±2,636","2,198","±943","38,474","±4,355","4,405","±1,223","77,007","±6,107","21,220","±2,788","1,992","±779","22,144","±2,646","7,289","±1,334","18,222","±2,838","39,583","±4,089","4,346","±1,296","10,710","±3,265","1,299","±649","11,874","±2,044","74,169","±6,683","7,101","±1,700","899","±624","20,557","±3,086","26,200","±4,168","2,249","±747","10,328","±1,786","1,613","±695","6,768","±1,835"
"        2 vehicles available","7,746","±1,916","6,477","±1,553","25,520","±3,209","6,456","±1,486","147,995","±8,350","25,221","±3,146","8,086","±1,557","2,020","±747","6,765","±1,563","87,706","±6,712","34,540","±3,490","4,167","±1,144","6,398","±1,122","33,743","±3,308","11,993","±2,110","7,342","±1,660","6,557","±1,439","7,657","±1,476","10,223","±1,989","4,041","±1,315","19,515","±2,922","31,105","±3,568","23,856","±3,422","18,872","±2,511","4,540","±1,501","15,071","±2,238","2,989","±1,102","4,581","±1,236","11,813","±2,273","4,059","±1,165","28,344","±3,542","6,106","±2,032","45,642","±5,638","23,399","±3,248","1,532","±637","26,121","±3,360","6,685","±1,569","18,725","±2,373","29,156","±3,678","3,326","±1,212","13,617","±2,635","2,061","±865","12,071","±2,164","90,685","±5,290","8,854","±1,607","1,716","±679","24,959","±3,607","21,598","±2,716","3,645","±1,187","14,183","±1,875","1,434","±764","4,804","±1,584"
"        3 or more vehicles available","6,269","±1,390","5,037","±1,016","23,790","±4,203","4,358","±1,556","132,998","±7,863","17,527","±2,651","5,372","±1,424","1,764","±684","2,557","±1,001","54,384","±4,723","26,149","±3,675","4,453","±1,214","5,693","±1,240","23,781","±2,943","12,106","±2,031","5,493","±1,388","7,065","±1,556","9,754","±1,653","7,144","±1,935","2,034","±608","11,422","±2,406","15,181","±2,186","13,923","±2,030","11,947","±1,691","5,801","±1,807","8,990","±1,858","4,118","±1,366","4,059","±1,404","10,292","±2,188","2,977","±1,197","23,462","±3,918","6,103","±1,899","30,387","±4,112","15,235","±2,748","1,471","±501","18,925","±2,720","6,897","±1,482","11,630","±1,726","20,298","±2,798","2,149","±1,045","11,495","±2,401","1,450","±529","12,608","±2,254","69,224","±5,852","11,820","±2,265","1,066","±708","17,985","±2,452","16,804","±2,344","1,483","±560","11,409","±1,809","1,487","±658","4,174","±1,646"
"    Worked from home:","191,399","±8,161","28,697","±3,021","580,270","±15,970","117,545","±6,324","2,651,991","±31,173","628,355","±15,010","245,229","±9,978","63,840","±4,544","86,134","±4,592","1,708,351","±29,373","798,450","±16,611","63,454","±4,943","119,754","±5,694","844,696","±19,257","320,471","±11,869","161,193","±6,993","151,569","±7,036","194,871","±7,341","160,840","±7,154","101,376","±5,077","501,800","±12,575","546,891","±12,575","534,197","±11,808","439,943","±10,696","80,716","±5,245","348,796","±12,026","65,794","±3,962","100,519","±5,365","178,969","±9,374","120,189","±5,881","639,829","±14,758","96,953","±6,242","1,110,027","±17,428","818,841","±14,303","29,092","±2,961","681,633","±15,067","161,765","±6,066","351,465","±9,093","868,229","±19,076","64,046","±5,169","311,706","±10,941","37,819","±3,118","436,117","±12,739","1,945,098","±29,976","276,802","±8,369","53,964","±3,113","696,289","±15,366","639,765","±16,119","65,540","±4,732","357,312","±9,627","28,628","±3,219","70,474","±6,226"
"        No vehicle available","5,216","±1,706","1,112","±545","13,275","±2,788","3,125","±1,319","102,454","±5,889","12,524","±2,906","4,581","±1,282","1,325","±643","20,697","±2,868","50,673","±5,224","20,862","±3,182","2,867","±978","2,557","±970","64,258","±5,465","11,072","±2,554","3,173","±1,037","1,026","±502","6,611","±1,797","8,864","±2,305","1,829","±722","14,906","±2,618","29,397","±2,766","12,932","±2,390","9,385","±1,756","2,825","±1,039","7,980","±1,590","787","±434","1,704","±813","5,958","±1,560","1,828","±797","37,956","±4,929","1,944","±813","292,284","±11,745","19,697","±3,801","584","±462","15,466","±2,071","3,450","±844","10,146","±2,477","46,262","±4,463","1,555","±842","6,480","±1,984","550","±367","7,257","±1,916","56,041","±6,128","4,978","±1,484","798","±404","22,418","±2,971","20,601","±2,531","2,264","±825","11,132","±2,224","1,029","±676","1,297","±780"
"        1 vehicle available","35,522","±4,110","5,906","±1,286","142,261","±9,111","26,132","±3,744","656,263","±15,165","149,808","±7,597","46,165","±5,089","15,245","±2,417","42,623","±4,198","469,121","±16,151","193,944","±9,855","16,883","±2,377","17,913","±2,461","247,978","±11,544","63,757","±6,189","29,239","±2,949","28,213","±3,007","40,721","±3,870","40,599","±4,752","23,349","±2,551","120,393","±7,908","145,011","±7,767","122,407","±7,019","97,563","±5,674","17,976","±2,714","74,404","±5,188","11,261","±2,068","20,040","±2,393","49,099","±4,612","19,811","±2,721","166,789","±8,986","24,145","±3,652","327,821","±10,666","193,219","±8,716","4,162","±1,271","149,551","±6,694","37,220","±3,275","95,723","±5,524","211,942","±9,901","17,839","±2,990","60,909","±5,395","4,816","±1,282","85,085","±5,881","484,044","±17,353","44,174","±4,729","11,434","±1,776","160,712","±8,566","164,978","±7,195","13,637","±1,974","76,760","±4,350","4,543","±1,346","20,764","±3,358"
"        2 vehicles available","82,159","±5,702","12,058","±1,955","256,001","±9,493","54,981","±4,167","1,091,266","±21,265","279,358","±10,421","121,510","±7,137","30,161","±3,067","17,731","±2,648","788,374","±21,032","350,399","±10,885","21,641","±2,070","51,804","±3,958","340,975","±10,624","149,416","±7,163","72,355","±5,132","68,715","±4,094","85,521","±5,236","73,602","±4,715","47,448","±3,684","213,220","±8,670","257,716","±10,567","249,852","±9,063","207,293","±7,687","30,053","±3,100","162,316","±9,266","25,275","±2,361","45,267","±3,989","77,801","±6,206","57,519","±4,980","274,740","±10,445","40,193","±4,328","324,961","±11,046","371,977","±13,291","11,184","±1,936","323,860","±10,891","67,174","±4,751","148,094","±7,466","383,890","±12,083","28,135","±3,212","150,662","±7,502","16,045","±2,236","197,226","±10,325","864,761","±21,226","111,413","±6,104","27,262","±2,784","294,912","±10,234","268,889","±11,392","31,906","±3,546","168,983","±6,772","9,653","±2,010","29,933","±3,874"
"        3 or more vehicles available","68,502","±4,587","9,621","±1,766","168,733","±7,944","33,307","±3,956","802,008","±20,215","186,665","±7,874","72,973","±5,468","17,109","±2,810","5,083","±1,329","400,183","±13,641","233,245","±10,654","22,063","±2,997","47,480","±3,297","191,485","±10,370","96,226","±5,969","56,426","±4,040","53,615","±4,461","62,018","±4,732","37,775","±4,298","28,750","±2,935","153,281","±8,232","114,767","±5,878","149,006","±6,462","125,702","±5,611","29,862","±3,556","104,096","±6,188","28,471","±2,656","33,508","±3,071","46,111","±4,756","41,031","±3,981","160,344","±8,742","30,671","±3,228","164,961","±7,730","233,948","±9,839","13,162","±1,815","192,756","±8,083","53,921","±3,646","97,502","±6,818","226,135","±8,991","16,517","±3,569","93,655","±6,393","16,408","±2,199","146,549","±6,671","540,252","±20,082","116,237","±6,027","14,470","±2,016","218,247","±8,916","185,297","±7,736","17,733","±2,411","100,437","±5,019","13,403","±2,399","18,480","±2,962"
