"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"    Car, truck, or van - carpooled:","177,546","±8,894","42,255","±4,154","378,464","±13,778","138,020","±7,148","1,905,522","±32,275","253,776","±10,671","147,222","±7,996","42,857","±4,626","49,031","±5,123","1,096,639","±28,211","491,378","±15,266","101,234","±5,709","85,165","±5,095","515,327","±17,279","306,496","±10,438","138,213","±7,587","141,291","±7,894","204,751","±9,790","189,126","±11,266","60,164","±4,517","254,521","±11,014","299,996","±11,418","407,316","±12,536","243,856","±10,741","119,014","±7,301","275,852","±10,229","55,749","±4,089","99,088","±6,521","183,930","±10,591","52,084","±4,475","387,246","±15,349","106,720","±6,778","644,360","±17,086","472,837","±14,742","45,087","±3,753","462,957","±13,534","196,128","±7,640","195,340","±8,842","510,817","±16,772","44,255","±4,442","222,454","±11,818","43,536","±4,244","330,949","±12,715","1,620,994","±33,415","191,617","±8,496","27,942","±3,146","380,678","±12,704","345,844","±14,989","68,896","±5,472","230,667","±8,823","34,338","±4,221","72,676","±6,966"
"        No vehicle available","6,984","±1,678","1,151","±476","13,437","±3,786","6,117","±1,554","62,475","±6,103","7,744","±2,366","7,377","±1,947","2,555","±1,157","2,861","±1,201","53,680","±6,547","29,998","±4,349","2,504","±899","1,761","±709","22,944","±3,372","19,844","±3,643","7,296","±1,810","4,704","±1,706","12,685","±3,588","12,118","±2,274","1,916","±882","14,739","±2,634","19,149","±3,512","19,993","±3,032","9,055","±1,795","7,719","±2,043","13,134","±2,284","1,579","±528","4,270","±1,227","4,395","±1,967","1,533","±584","34,066","±4,705","2,595","±1,013","59,714","±5,695","22,525","±3,552","1,995","±1,369","31,395","±3,938","7,565","±1,714","4,668","±1,422","40,667","±5,338","1,756","±899","12,953","±3,031","1,600","±675","19,549","±4,132","61,869","±7,254","8,734","±2,603","941","±486","16,194","±2,966","10,583","±2,621","4,263","±1,527","14,350","±2,776","329","±308","2,177","±988"
"        1 vehicle available","40,833","±4,765","12,119","±2,702","79,498","±7,416","30,488","±3,976","326,199","±14,333","47,152","±4,829","34,978","±4,686","9,131","±2,249","15,344","±3,364","256,569","±16,570","110,573","±7,988","22,075","±2,921","12,625","±2,189","112,965","±8,287","65,433","±5,679","25,297","±3,324","24,294","±3,394","41,938","±4,354","53,476","±6,453","13,199","±2,257","58,660","±5,908","77,576","±7,623","92,872","±6,021","46,378","±4,660","25,325","±3,664","62,940","±4,833","8,612","±1,747","18,191","±2,764","40,461","±5,511","9,921","±2,311","95,533","±6,480","18,536","±3,924","184,510","±10,710","100,348","±7,485","11,090","±2,685","105,975","±7,296","42,249","±3,323","40,857","±5,026","123,120","±9,051","11,538","±3,054","52,587","±6,143","6,295","±1,850","66,907","±6,175","349,649","±17,107","27,054","±3,778","6,783","±1,534","75,061","±6,199","69,688","±7,089","16,840","±3,174","45,517","±4,121","5,741","±1,745","19,531","±3,045"
"        2 vehicles available","64,070","±5,366","15,087","±2,450","127,584","±7,936","54,570","±4,511","641,512","±19,254","89,355","±6,863","56,739","±4,762","15,786","±2,999","17,730","±2,925","431,258","±19,096","171,421","±9,195","32,537","±3,732","28,489","±2,927","191,737","±9,245","112,178","±6,970","52,179","±4,874","52,730","±4,751","78,429","±7,493","71,956","±6,642","26,407","±3,338","85,669","±8,103","116,476","±7,458","158,369","±7,929","96,880","±6,584","44,835","±4,673","104,339","±6,945","19,089","±2,930","35,234","±3,979","67,230","±7,711","19,898","±3,139","134,371","±9,725","39,000","±5,071","225,398","±10,103","169,010","±9,138","15,843","±2,496","162,106","±8,773","70,601","±4,551","68,971","±5,712","184,172","±9,734","17,130","±2,925","78,720","±6,456","15,537","±2,498","125,767","±8,559","591,656","±20,014","57,281","±5,884","14,227","±2,708","141,981","±7,851","120,730","±7,332","27,082","±3,439","91,905","±5,537","10,084","±2,123","24,513","±3,985"
"        3 or more vehicles available","65,659","±4,612","13,898","±2,493","157,945","±9,927","46,845","±4,361","875,336","±24,611","109,525","±7,993","48,128","±4,288","15,385","±3,205","13,096","±2,543","355,132","±15,689","179,386","±11,346","44,118","±4,012","42,290","±4,025","187,681","±10,629","109,041","±6,786","53,441","±4,316","59,563","±5,734","71,699","±4,780","51,576","±5,813","18,642","±2,708","95,453","±7,336","86,795","±6,755","136,082","±7,667","91,543","±6,646","41,135","±4,548","95,439","±6,281","26,469","±2,957","41,393","±3,852","71,844","±6,613","20,732","±3,254","123,276","±9,108","46,589","±4,619","174,738","±10,552","180,954","±11,663","16,159","±2,480","163,481","±9,333","75,713","±4,912","80,844","±6,216","162,858","±9,077","13,831","±2,486","78,194","±6,294","20,104","±2,862","118,726","±8,323","617,820","±21,089","98,548","±6,072","5,991","±1,222","147,442","±7,983","144,843","±9,702","20,711","±3,494","78,895","±4,986","18,184","±3,309","26,455","±4,500"
"    Public transportation:","9,463","±3,522","1,934","±784","39,478","±5,179","3,453","±994","603,982","±16,961","52,019","±4,835","45,439","±4,244","7,095","±1,651","213,176","±9,889","131,403","±7,975","57,553","±6,498","28,894","±3,580","4,002","±857","439,036","±14,552","14,927","±2,540","13,120","±2,145","4,385","±1,117","14,205","±3,096","19,315","±2,834","2,645","±825","88,650","±7,577","290,994","±10,796","43,373","±5,161","50,089","±4,466","3,243","±985","31,458","±3,933","3,662","±1,297","4,541","±1,215","38,753","±4,124","4,080","±1,414","169,263","±9,328","4,065","±1,186","2,613,458","±27,113","38,652","±4,039","1,750","±792","49,578","±5,249","4,704","±1,144","50,722","±5,307","268,601","±11,446","8,733","±2,503","4,950","±1,750","1,566","±798","14,381","±2,843","144,001","±9,544","31,606","±3,987","3,754","±1,522","90,839","±7,353","158,215","±7,895","3,220","±973","40,661","±4,033","3,270","±1,050","11,650","±2,934"
"        No vehicle available","771","±542","614","±470","14,777","±3,041","725","±620","152,380","±8,547","11,987","±2,655","18,415","±3,221","2,568","±959","55,548","±5,024","40,041","±6,161","16,200","±3,566","7,430","±1,486","204","±157","132,429","±8,763","3,679","±1,243","3,560","±1,165","865","±519","5,328","±2,080","6,253","±1,633","414","±301","37,985","±5,411","73,065","±5,820","13,475","±2,788","15,937","±2,664","157","±199","15,576","±2,667","928","±709","1,793","±748","14,634","±3,128","332","±299","68,392","±6,377","440","±345","1,299,616","±23,837","9,930","±1,947","945","±675","19,359","±3,358","1,382","±706","16,221","±3,000","92,639","±9,314","3,502","±1,600","2,218","±1,290","644","±592","5,382","±1,786","45,529","±5,756","3,456","±1,261","1,138","±1,112","24,789","±3,348","38,704","±4,767","633","±309","16,703","±3,120","0","±213","3,395","±1,871"
"        1 vehicle available","2,771","±1,308","284","±196","12,263","±2,497","1,503","±733","185,601","±9,336","12,326","±2,066","11,369","±2,120","2,815","±1,283","79,528","±5,679","42,378","±5,086","20,469","±3,770","10,167","±2,112","516","±281","154,236","±9,802","4,368","±1,785","4,278","±1,155","1,291","±639","3,444","±1,473","8,118","±2,240","1,130","±550","24,247","±3,716","106,456","±7,891","14,841","±2,503","13,530","±2,121","1,275","±782","8,238","±2,338","855","±425","931","±510","10,957","±2,575","1,994","±1,214","55,856","±5,435","900","±524","754,000","±19,235","10,110","±2,501","413","±366","15,733","±2,555","1,947","±679","18,530","±3,379","96,520","±7,762","3,271","±1,839","1,087","±874","434","±342","3,349","±1,553","39,422","±4,405","9,595","±2,258","1,080","±582","31,789","±4,499","54,600","±4,333","1,057","±666","12,082","±2,193","1,158","±511","4,082","±1,388"
"        2 vehicles available","4,128","±3,394","685","±509","5,335","±1,493","491","±349","159,317","±8,985","16,667","±3,386","10,552","±2,095","1,502","±665","52,751","±4,356","28,536","±3,815","11,997","±2,296","4,458","±1,193","1,134","±594","103,138","±6,837","4,664","±1,268","2,199","±837","869","±417","4,157","±1,684","4,021","±1,528","722","±344","15,703","±2,923","76,429","±5,272","8,990","±2,306","12,777","±2,065","1,207","±588","5,224","±1,535","963","±682","1,167","±723","7,357","±1,728","946","±554","28,674","±3,249","516","±278","370,444","±14,688","13,299","±2,550","263","±256","10,047","±2,277","702","±363","9,844","±1,905","56,582","±4,739","1,406","±715","904","±562","385","±343","2,828","±950","38,237","±4,946","10,655","±2,231","1,365","±771","21,303","±3,386","38,768","±3,657","797","±565","7,734","±1,739","539","±486","2,462","±1,238"
"        3 or more vehicles available","1,793","±765","351","±344","7,103","±2,287","734","±404","106,684","±7,868","11,039","±2,370","5,103","±1,232","210","±153","25,349","±3,817","20,448","±3,509","8,887","±2,022","6,839","±1,614","2,148","±674","49,233","±4,782","2,216","±838","3,083","±1,358","1,360","±745","1,276","±624","923","±499","379","±420","10,715","±2,007","35,044","±4,034","6,067","±1,639","7,845","±1,867","604","±378","2,420","±1,053","916","±766","650","±392","5,805","±1,274","808","±581","16,341","±3,068","2,209","±1,058","189,398","±10,502","5,313","±1,507","129","±155","4,439","±978","673","±421","6,127","±1,696","22,860","±2,753","554","±427","741","±437","103","±134","2,822","±1,165","20,813","±3,461","7,900","±1,709","171","±183","12,958","±1,771","26,143","±3,501","733","±556","4,142","±1,295","1,573","±875","1,711","±1,049"
